naics_code,kind_of_business,sales_month,sales
445,Food and beverage stores,11/1/18,63793
445,Food and beverage stores,12/1/18,68243
4451,Grocery stores,1/1/18,54838
4451,Grocery stores,2/1/18,50888
4451,Grocery stores,3/1/18,57276
4451,Grocery stores,4/1/18,53513
4451,Grocery stores,5/1/18,57798
4451,Grocery stores,6/1/18,56086
4451,Grocery stores,7/1/18,56674
4451,Grocery stores,8/1/18,57000
4451,Grocery stores,9/1/18,54941
4451,Grocery stores,10/1/18,56070
4451,Grocery stores,11/1/18,56795
4451,Grocery stores,12/1/18,59404
44511,Supermarkets and other grocery (except convenience) stores,1/1/18,52565
44511,Supermarkets and other grocery (except convenience) stores,2/1/18,48628
44511,Supermarkets and other grocery (except convenience) stores,3/1/18,54680
44511,Supermarkets and other grocery (except convenience) stores,4/1/18,50861
44511,Supermarkets and other grocery (except convenience) stores,5/1/18,55043
44511,Supermarkets and other grocery (except convenience) stores,6/1/18,53334
44511,Supermarkets and other grocery (except convenience) stores,7/1/18,53918
44511,Supermarkets and other grocery (except convenience) stores,8/1/18,54220
44511,Supermarkets and other grocery (except convenience) stores,9/1/18,52338
44511,Supermarkets and other grocery (except convenience) stores,10/1/18,53419
44511,Supermarkets and other grocery (except convenience) stores,11/1/18,54291
44511,Supermarkets and other grocery (except convenience) stores,12/1/18,56938
4453,"Beer, wine, and liquor stores",1/1/18,3787
4453,"Beer, wine, and liquor stores",2/1/18,3788
4453,"Beer, wine, and liquor stores",3/1/18,4433
4453,"Beer, wine, and liquor stores",4/1/18,4138
4453,"Beer, wine, and liquor stores",5/1/18,4698
4453,"Beer, wine, and liquor stores",6/1/18,4736
4453,"Beer, wine, and liquor stores",7/1/18,4757
4453,"Beer, wine, and liquor stores",8/1/18,4691
4453,"Beer, wine, and liquor stores",9/1/18,4411
4453,"Beer, wine, and liquor stores",10/1/18,4550
4453,"Beer, wine, and liquor stores",11/1/18,4925
4453,"Beer, wine, and liquor stores",12/1/18,6129
446,Health and personal care stores,1/1/18,27687
446,Health and personal care stores,2/1/18,25643
446,Health and personal care stores,3/1/18,28455
446,Health and personal care stores,4/1/18,27128
446,Health and personal care stores,5/1/18,28965
446,Health and personal care stores,6/1/18,27655
446,Health and personal care stores,7/1/18,27400
446,Health and personal care stores,8/1/18,28848
446,Health and personal care stores,9/1/18,26875
446,Health and personal care stores,10/1/18,29424
446,Health and personal care stores,11/1/18,28840
446,Health and personal care stores,12/1/18,30885
44611,Pharmacies and drug stores,1/1/18,23549
44611,Pharmacies and drug stores,2/1/18,21336
44611,Pharmacies and drug stores,3/1/18,23348
44611,Pharmacies and drug stores,4/1/18,22506
44611,Pharmacies and drug stores,5/1/18,24074
44611,Pharmacies and drug stores,6/1/18,22588
44611,Pharmacies and drug stores,7/1/18,22753
44611,Pharmacies and drug stores,8/1/18,23870
44611,Pharmacies and drug stores,9/1/18,22138
44611,Pharmacies and drug stores,10/1/18,24740
44611,Pharmacies and drug stores,11/1/18,23756
44611,Pharmacies and drug stores,12/1/18,24866
447,Gasoline stations,1/1/18,38954
447,Gasoline stations,2/1/18,36876
447,Gasoline stations,3/1/18,42183
447,Gasoline stations,4/1/18,42792
447,Gasoline stations,5/1/18,47700
447,Gasoline stations,6/1/18,47009
447,Gasoline stations,7/1/18,47340
447,Gasoline stations,8/1/18,48121
447,Gasoline stations,9/1/18,44664
447,Gasoline stations,10/1/18,47293
447,Gasoline stations,11/1/18,42181
447,Gasoline stations,12/1/18,38323
448,Clothing and clothing access. stores,1/1/18,15733
448,Clothing and clothing access. stores,2/1/18,18359
448,Clothing and clothing access. stores,3/1/18,22125
448,Clothing and clothing access. stores,4/1/18,20378
448,Clothing and clothing access. stores,5/1/18,23552
448,Clothing and clothing access. stores,6/1/18,21234
448,Clothing and clothing access. stores,7/1/18,21584
448,Clothing and clothing access. stores,8/1/18,23012
448,Clothing and clothing access. stores,9/1/18,19713
448,Clothing and clothing access. stores,10/1/18,21128
448,Clothing and clothing access. stores,11/1/18,25289
448,Clothing and clothing access. stores,12/1/18,33954
4481,Clothing stores,1/1/18,11664
4481,Clothing stores,2/1/18,12952
4481,Clothing stores,3/1/18,16405
4481,Clothing stores,4/1/18,14969
4481,Clothing stores,5/1/18,17266
4481,Clothing stores,6/1/18,15743
4481,Clothing stores,7/1/18,15929
4481,Clothing stores,8/1/18,16618
4481,Clothing stores,9/1/18,14723
4481,Clothing stores,10/1/18,15815
4481,Clothing stores,11/1/18,19078
4481,Clothing stores,12/1/18,23553
44811,Men's clothing stores,1/1/18,597
44811,Men's clothing stores,2/1/18,628
44811,Men's clothing stores,3/1/18,777
44811,Men's clothing stores,4/1/18,834
44811,Men's clothing stores,5/1/18,872
44811,Men's clothing stores,6/1/18,784
44811,Men's clothing stores,7/1/18,678
44811,Men's clothing stores,8/1/18,723
44811,Men's clothing stores,9/1/18,740
44811,Men's clothing stores,10/1/18,768
44811,Men's clothing stores,11/1/18,840
44811,Men's clothing stores,12/1/18,1014
44812,Women's clothing stores,1/1/18,2321
44812,Women's clothing stores,2/1/18,2644
44812,Women's clothing stores,3/1/18,3442
44812,Women's clothing stores,4/1/18,3330
44812,Women's clothing stores,5/1/18,3789
44812,Women's clothing stores,6/1/18,3233
44812,Women's clothing stores,7/1/18,3090
44812,Women's clothing stores,8/1/18,3257
44812,Women's clothing stores,9/1/18,3058
44812,Women's clothing stores,10/1/18,3361
44812,Women's clothing stores,11/1/18,3979
44812,Women's clothing stores,12/1/18,4394
44814,Family clothing stores,1/1/18,6308
44814,Family clothing stores,2/1/18,7045
44814,Family clothing stores,3/1/18,9061
44814,Family clothing stores,4/1/18,8050
44814,Family clothing stores,5/1/18,9529
44814,Family clothing stores,6/1/18,8752
44814,Family clothing stores,7/1/18,9129
44814,Family clothing stores,8/1/18,9496
44814,Family clothing stores,9/1/18,8248
44814,Family clothing stores,10/1/18,8998
44814,Family clothing stores,11/1/18,10860
44814,Family clothing stores,12/1/18,13645
44819,Other clothing stores,1/1/18,1218
44819,Other clothing stores,2/1/18,1249
44819,Other clothing stores,3/1/18,1469
44819,Other clothing stores,4/1/18,1266
44819,Other clothing stores,5/1/18,1434
44819,Other clothing stores,6/1/18,1556
44819,Other clothing stores,7/1/18,1605
44819,Other clothing stores,8/1/18,1609
44819,Other clothing stores,9/1/18,1318
44819,Other clothing stores,10/1/18,1299
44819,Other clothing stores,11/1/18,1683
44819,Other clothing stores,12/1/18,2191
4482,Shoe stores,1/1/18,2058
4482,Shoe stores,2/1/18,2672
4482,Shoe stores,3/1/18,3243
4482,Shoe stores,4/1/18,2890
4482,Shoe stores,5/1/18,3112
4482,Shoe stores,6/1/18,2853
4482,Shoe stores,7/1/18,3209
4482,Shoe stores,8/1/18,3850
4482,Shoe stores,9/1/18,2709
4482,Shoe stores,10/1/18,2829
4482,Shoe stores,11/1/18,3282
4482,Shoe stores,12/1/18,4217
44831,Jewelry stores,1/1/18,1831
44831,Jewelry stores,2/1/18,2541
44831,Jewelry stores,3/1/18,2268
44831,Jewelry stores,4/1/18,2320
44831,Jewelry stores,5/1/18,2942
44831,Jewelry stores,6/1/18,2443
44831,Jewelry stores,7/1/18,2260
44831,Jewelry stores,8/1/18,2364
44831,Jewelry stores,9/1/18,2114
44831,Jewelry stores,10/1/18,2318
44831,Jewelry stores,11/1/18,2730
44831,Jewelry stores,12/1/18,5848
451,"Sporting goods, hobby, musical instrument, and book stores",1/1/18,5910
451,"Sporting goods, hobby, musical instrument, and book stores",2/1/18,5608
451,"Sporting goods, hobby, musical instrument, and book stores",3/1/18,6964
451,"Sporting goods, hobby, musical instrument, and book stores",4/1/18,6279
451,"Sporting goods, hobby, musical instrument, and book stores",5/1/18,6714
451,"Sporting goods, hobby, musical instrument, and book stores",6/1/18,6748
451,"Sporting goods, hobby, musical instrument, and book stores",7/1/18,6263
451,"Sporting goods, hobby, musical instrument, and book stores",8/1/18,7231
451,"Sporting goods, hobby, musical instrument, and book stores",9/1/18,5995
451,"Sporting goods, hobby, musical instrument, and book stores",10/1/18,5933
451,"Sporting goods, hobby, musical instrument, and book stores",11/1/18,7167
451,"Sporting goods, hobby, musical instrument, and book stores",12/1/18,9179
45111,Sporting goods stores,1/1/18,2774
45111,Sporting goods stores,2/1/18,3023
45111,Sporting goods stores,3/1/18,3782
45111,Sporting goods stores,4/1/18,3564
45111,Sporting goods stores,5/1/18,3809
45111,Sporting goods stores,6/1/18,4095
45111,Sporting goods stores,7/1/18,3845
45111,Sporting goods stores,8/1/18,4048
45111,Sporting goods stores,9/1/18,3124
45111,Sporting goods stores,10/1/18,3189
45111,Sporting goods stores,11/1/18,3672
45111,Sporting goods stores,12/1/18,4988
45112,"Hobby, toy, and game stores",1/1/18,1186
45112,"Hobby, toy, and game stores",2/1/18,1229
45112,"Hobby, toy, and game stores",3/1/18,1717
45112,"Hobby, toy, and game stores",4/1/18,1355
45112,"Hobby, toy, and game stores",5/1/18,1435
45112,"Hobby, toy, and game stores",6/1/18,1255
45112,"Hobby, toy, and game stores",7/1/18,1042
45112,"Hobby, toy, and game stores",8/1/18,1096
45112,"Hobby, toy, and game stores",9/1/18,1176
45112,"Hobby, toy, and game stores",10/1/18,1274
45112,"Hobby, toy, and game stores",11/1/18,1974
45112,"Hobby, toy, and game stores",12/1/18,2086
451211,Book stores,1/1/18,1207
451211,Book stores,2/1/18,634
451211,Book stores,3/1/18,652
451211,Book stores,4/1/18,623
451211,Book stores,5/1/18,691
451211,Book stores,6/1/18,631
451211,Book stores,7/1/18,604
451211,Book stores,8/1/18,1218
451211,Book stores,9/1/18,864
451211,Book stores,10/1/18,637
451211,Book stores,11/1/18,663
451211,Book stores,12/1/18,1120
452,General merchandise stores,1/1/18,50622
452,General merchandise stores,2/1/18,50805
452,General merchandise stores,3/1/18,59005
452,General merchandise stores,4/1/18,53844
452,General merchandise stores,5/1/18,60405
452,General merchandise stores,6/1/18,58166
452,General merchandise stores,7/1/18,57537
452,General merchandise stores,8/1/18,59972
452,General merchandise stores,9/1/18,54761
452,General merchandise stores,10/1/18,57746
452,General merchandise stores,11/1/18,65865
452,General merchandise stores,12/1/18,77925
4521,Department stores,1/1/18,9127
4521,Department stores,2/1/18,9670
4521,Department stores,3/1/18,11467
4521,Department stores,4/1/18,10551
4521,Department stores,5/1/18,12010
4521,Department stores,6/1/18,11165
4521,Department stores,7/1/18,10985
4521,Department stores,8/1/18,12079
4521,Department stores,9/1/18,10362
4521,Department stores,10/1/18,10993
4521,Department stores,11/1/18,14549
4521,Department stores,12/1/18,19120
452111,Department stores(excl. discount department stores),1/1/18,2648
452111,Department stores(excl. discount department stores),2/1/18,3051
452111,Department stores(excl. discount department stores),3/1/18,3633
452111,Department stores(excl. discount department stores),4/1/18,3538
452111,Department stores(excl. discount department stores),5/1/18,3859
452111,Department stores(excl. discount department stores),6/1/18,3421
452111,Department stores(excl. discount department stores),7/1/18,3276
452111,Department stores(excl. discount department stores),8/1/18,3418
452111,Department stores(excl. discount department stores),9/1/18,3179
452111,Department stores(excl. discount department stores),10/1/18,3317
452111,Department stores(excl. discount department stores),11/1/18,4851
452111,Department stores(excl. discount department stores),12/1/18,6380
452112,Discount dept. stores,1/1/18,6479
452112,Discount dept. stores,2/1/18,6619
452112,Discount dept. stores,3/1/18,7834
452112,Discount dept. stores,4/1/18,7013
452112,Discount dept. stores,5/1/18,8151
452112,Discount dept. stores,6/1/18,7744
452112,Discount dept. stores,7/1/18,7709
452112,Discount dept. stores,8/1/18,8661
452112,Discount dept. stores,9/1/18,7183
452112,Discount dept. stores,10/1/18,7676
452112,Discount dept. stores,11/1/18,9698
452112,Discount dept. stores,12/1/18,12740
4529,Other general merchandise stores,1/1/18,41495
4529,Other general merchandise stores,2/1/18,41135
4529,Other general merchandise stores,3/1/18,47538
4529,Other general merchandise stores,4/1/18,43293
4529,Other general merchandise stores,5/1/18,48395
4529,Other general merchandise stores,6/1/18,47001
4529,Other general merchandise stores,7/1/18,46552
4529,Other general merchandise stores,8/1/18,47893
4529,Other general merchandise stores,9/1/18,44399
4529,Other general merchandise stores,10/1/18,46753
4529,Other general merchandise stores,11/1/18,51316
4529,Other general merchandise stores,12/1/18,58805
45291,Warehouse clubs and superstores,1/1/18,35955
45291,Warehouse clubs and superstores,2/1/18,35473
45291,Warehouse clubs and superstores,3/1/18,41029
45291,Warehouse clubs and superstores,4/1/18,37260
45291,Warehouse clubs and superstores,5/1/18,41507
45291,Warehouse clubs and superstores,6/1/18,40603
45291,Warehouse clubs and superstores,7/1/18,40278
45291,Warehouse clubs and superstores,8/1/18,41465
45291,Warehouse clubs and superstores,9/1/18,38183
45291,Warehouse clubs and superstores,10/1/18,40156
45291,Warehouse clubs and superstores,11/1/18,43828
45291,Warehouse clubs and superstores,12/1/18,50331
45299,All other gen. merchandise stores,1/1/18,5540
45299,All other gen. merchandise stores,2/1/18,5662
45299,All other gen. merchandise stores,3/1/18,6509
45299,All other gen. merchandise stores,4/1/18,6033
45299,All other gen. merchandise stores,5/1/18,6888
45299,All other gen. merchandise stores,6/1/18,6398
45299,All other gen. merchandise stores,7/1/18,6274
45299,All other gen. merchandise stores,8/1/18,6428
45299,All other gen. merchandise stores,9/1/18,6216
45299,All other gen. merchandise stores,10/1/18,6597
45299,All other gen. merchandise stores,11/1/18,7488
45299,All other gen. merchandise stores,12/1/18,8474
453,Miscellaneous store retailers,1/1/18,9453
453,Miscellaneous store retailers,2/1/18,9220
453,Miscellaneous store retailers,3/1/18,10326
453,Miscellaneous store retailers,4/1/18,10101
